BehaviorSpace results (NetLogo 6.2.2),,,,,,,,,,,,,,,,,
CA_5-STATES_NETWORK_CLEAN_54_PERFEITO_SAVE_Block_Arduino_24_PERFECT_DOC_BREED_aligned_BEHAVIOR_work.nlogo,,,,,,,,,,,,,,,,,
experiment,,,,,,,,,,,,,,,,,
06/29/2022 20:38:59:599 -0300,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,
-16,16,-16,16,,,,,,,,,,,,,,
[run number],radius-of-interaction,movement-steps,load-graphml,N-turtles,percentage-unhappy,clear-before-generating,arduino-on,mutated,links-to-use,frac-providers,step,mood_clients,mood_providers,cluster_coef,paths,closeness,betweenness
10,1.5,1,false,80,40,true,false,0,undirected,0.05,3,1.7894736842105263,7.5,0.0875,false,0.41000000000000003,75
8,1.5,1,false,80,30,true,false,0,undirected,0.05,3,1.868421052631579,7,0,false,0.13125,0.05
12,1.5,1,false,80,40,true,false,0,undirected,0.15,3,1.5294117647058822,4.5,0.06666666666666668,false,0.3952525252525253,0.3375
1,1.5,1,false,80,10,true,false,0,undirected,0.05,4,2.4078947368421053,1.5,0.17083333333333334,false,0.4185565476190476,0.7
3,1.5,1,false,80,10,true,false,0,undirected,0.15,4,2.676470588235294,2.5,0.04375,false,0.4072104978354979,0.25
11,1.5,1,false,80,40,true,false,0,undirected,0.05,4,1.9605263157894737,4.25,0.0375,false,0.3458333333333333,25
2,1.5,1,false,80,10,true,false,0,undirected,0.05,4,2.6578947368421053,1.25,0.06666666666666667,false,0.3304166666666667,0.0375
9,1.5,1,false,80,30,true,false,0,undirected,0.15,4,2.176470588235294,2.3333333333333335,0.08541666666666667,false,0.37672619047619055,75
7,1.5,1,false,80,30,true,false,0,undirected,0.05,4,1.9473684210526316,2.25,0.11666666666666667,false,0.32875,0.05
5,1.5,1,false,80,20,true,false,0,undirected,0.05,4,2.1710526315789473,2.25,0.18333333333333335,false,0.4567857142857143,175
10,1.5,1,false,80,40,true,false,0,undirected,0.05,4,1.6842105263157894,2.75,0.09166666666666666,false,0.42055555555555557,0.1875
6,1.5,1,false,80,20,true,false,0,undirected,0.15,4,2.5441176470588234,3.75,75,false,0.37916666666666665,0.0125
4,1.5,1,false,80,20,true,false,0,undirected,0.05,4,2.013157894736842,2.5,0.0375,false,0.32605859053227476,0.3625
8,1.5,1,false,80,30,true,false,0,undirected,0.05,4,1.8289473684210527,5,0,false,0.18125,0.05
12,1.5,1,false,80,40,true,false,0,undirected,0.15,4,1.6911764705882353,2.75,0.06666666666666667,false,0.41967712842712845,0.4
9,1.5,1,false,80,30,true,false,0,undirected,0.15,5,1.9264705882352942,3.0833333333333335,0.08541666666666667,false,0.3808928571428572,0.0875
5,1.5,1,false,80,20,true,false,0,undirected,0.05,5,2.013157894736842,2.25,0.16041666666666668,false,0.4466269841269842,0.4375
1,1.5,1,false,80,10,true,false,0,undirected,0.05,5,2.0921052631578947,2,0.18124999999999997,false,0.4552167350193665,0.5375
4,1.5,1,false,80,20,true,false,0,undirected,0.05,5,1.7763157894736843,2,0.04166666666666667,false,0.3607077127915944,0.7375
2,1.5,1,false,80,10,true,false,0,undirected,0.05,5,2.236842105263158,1.5,0.06666666666666667,false,0.33625,0.0625
11,1.5,1,false,80,40,true,false,0,undirected,0.05,5,1.7105263157894737,7.25,75,false,0.3625,0.0375
3,1.5,1,false,80,10,true,false,0,undirected,0.15,5,2.2794117647058822,3,0.06791666666666667,false,0.4150892857142857,0.18749999999999997
7,1.5,1,false,80,30,true,false,0,undirected,0.05,5,1.75,3.75,0.1416666666666667,false,0.3163095238095238,125
8,1.5,1,false,80,30,true,false,0,undirected,0.05,5,1.736842105263158,5.75,0,false,0.20625,0.05
10,1.5,1,false,80,40,true,false,0,undirected,0.05,5,1.7105263157894737,6.25,0.09166666666666666,false,0.42635416666666676,0.25
6,1.5,1,false,80,20,true,false,0,undirected,0.15,5,2.2794117647058822,2.9166666666666665,75,false,0.37916666666666665,0.0125
12,1.5,1,false,80,40,true,false,0,undirected,0.15,5,1.4558823529411764,3.4166666666666665,0.06666666666666668,false,0.42384379509379516,0.4125
5,1.5,1,false,80,20,true,false,0,undirected,0.05,6,2.6052631578947367,2.25,0.22583333333333333,false,0.47687049062049064,475
9,1.5,1,false,80,30,true,false,0,undirected,0.15,6,2.25,3.75,0.08541666666666667,false,0.40589285714285717,0.0875
4,1.5,1,false,80,20,true,false,0,undirected,0.05,6,2.1842105263157894,2.5,0.05375,false,0.40944753163503167,0.7125
1,1.5,1,false,80,10,true,false,0,undirected,0.05,6,2.6710526315789473,3,0.17875000000000002,false,0.46391743733226426,0.6875
11,1.5,1,false,80,40,true,false,0,undirected,0.05,6,2.0921052631578947,6.75,75,false,0.36250000000000004,0.0375
2,1.5,1,false,80,10,true,false,0,undirected,0.05,6,2.8684210526315788,1.25,0.06666666666666667,false,0.38984126984126993,0.1375
7,1.5,1,false,80,30,true,false,0,undirected,0.05,6,2.1578947368421053,3.75,0.14166666666666666,false,0.3225595238095238,175
3,1.5,1,false,80,10,true,false,0,undirected,0.15,6,2.764705882352941,2.75,125,false,0.4286607142857143,0.14999999999999997
8,1.5,1,false,80,30,true,false,0,undirected,0.05,6,1.9605263157894737,6.25,0,false,0.21041666666666664,0.0625
