"BehaviorSpace results (NetLogo 6.2.2)"
"CA_5-STATES_NETWORK_CLEAN_55_PERFEITO_SAVE_Block_Arduino_25_PERFECT_DOC_BREED_aligned_BEHAVIOR_work2_SIMILARITY_SEGREGATION_CENTROIDE_work.nlogo"
"experiment_centroid"
"06/30/2022 20:22:16:617 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","radius-of-interaction","movement-steps","load-graphml","N-turtles","percentage-unhappy","clear-before-generating","arduino-on","mutated","links-to-use","frac-providers","[step]","( sum [ state ] of turtles with [ breed = clients ] ) /  (( 1 - frac-providers) * N-turtles)","( sum [ state ] of turtles with [ breed = service-providers ] ) /  ( frac-providers * N-turtles )","mean [nw:clustering-coefficient] of turtles","paths","mean [nw:closeness-centrality] of turtles","mean [nw:betweenness-centrality] of turtles","centroid-x","centroid-y"
"11","1.5","1","false","80","40","true","false","0","undirected","0.05","2","1.8157894736842106","4.75","0.09583333333333333","false","0.32125","0.1","-0.3153346255879713","1.0353932079969403"
"8","1.5","1","false","80","30","true","false","0","undirected","0.05","2","2.1842105263157894","3.25","0.0375","false","0.25625","0.0875","-0.48960312079748347","0.520027368888462"
"1","1.5","1","false","80","10","true","false","0","undirected","0.05","3","1.986842105263158","3","0.11666666666666665","false","0.46505952380952376","0.1","1.0351278474464451","-0.02876407855194485"
"2","1.5","1","false","80","10","true","false","0","undirected","0.05","3","2.4473684210526314","1.75","0.0375","false","0.4354166666666667","0.1","-0.2244693639209042","-1.0118537525869122"
"5","1.5","1","false","80","20","true","false","0","undirected","0.05","3","2.1973684210526314","2.25","0.041666666666666664","false","0.43125","0.05","0.6384477934930556","0.8374205679105614"
"3","1.5","1","false","80","10","true","false","0","undirected","0.15","3","2.4411764705882355","2.5","0","false","0.36041666666666666","0.0625","1.7662063555971212","0.07419280450516338"
"9","1.5","1","false","80","30","true","false","0","undirected","0.15","3","2.176470588235294","3.3333333333333335","0.14583333333333334","false","0.4866666666666667","0.05","0.7449970202912738","-0.807109829975461"
"7","1.5","1","false","80","30","true","false","0","undirected","0.05","3","2.013157894736842","7.75","0.15833333333333335","false","0.3651785714285714","0.325","-0.896724172181813","0.6990153672388152"
"4","1.5","1","false","80","20","true","false","0","undirected","0.05","3","2.513157894736842","2","0.11458333333333333","false","0.43095238095238103","0.25","1.8544252275548925","-2.303568603481307"
"12","1.5","1","false","80","40","true","false","0","undirected","0.15","3","1.6470588235294117","5.083333333333333","0.11458333333333334","false","0.23608630952380955","0.07499999999999998","-0.9989586777690003","2.2455569023208666"
"10","1.5","1","false","80","40","true","false","0","undirected","0.05","3","1.6842105263157894","4.75","0.075","false","0.3416666666666668","0.05","-2.142074167874237","-0.258569701883331"
"6","1.5","1","false","80","20","true","false","0","undirected","0.15","3","1.9705882352941178","3.25","0.11666666666666665","false","0.38958333333333334","0.075","0.44952961763840016","-1.4594997738940365"
"8","1.5","1","false","80","30","true","false","0","undirected","0.05","3","2.013157894736842","6.25","0.09583333333333333","false","0.27958333333333335","0.125","-0.48960312079748325","0.48252736888846226"
"11","1.5","1","false","80","40","true","false","0","undirected","0.05","3","1.75","9.5","0.09583333333333333","false","0.3316666666666667","0.0875","-0.37783462558797076","0.97289320799694"
"1","1.5","1","false","80","10","true","false","0","undirected","0.05","4","2.1052631578947367","1.5","0.11666666666666667","false","0.4671428571428572","0.1375","1.090670246245275","-0.039322712591354184"
"9","1.5","1","false","80","30","true","false","0","undirected","0.15","4","2.1176470588235294","2.0833333333333335","0.16666666666666666","false","0.47333333333333333","0.1125","0.721458443750941","-0.6863029610249765"
"5","1.5","1","false","80","20","true","false","0","undirected","0.05","4","2.1447368421052633","1.5","0.07916666666666666","false","0.45375000000000015","0.0875","0.5919983153736632","0.9409314203985513"
"2","1.5","1","false","80","10","true","false","0","undirected","0.05","4","2.6973684210526314","0.25","0.0375","false","0.4354166666666668","0.1","-0.2408331249180077","-1.0033750141097875"
"7","1.5","1","false","80","30","true","false","0","undirected","0.05","4","2.1578947368421053","3.5","0.2166666666666667","false","0.4108928571428573","0.2375","-0.8759048332870207","0.6333788549224719"
